user_id,closest_airport_id
3,307928
117,28157
4,354380
17,26868
123,3969
101,24340
26,2478
148,28174
164,10686
157,19000
97,3373
180,32672
87,41513
21,27756
52,285
118,323331
65,340348
174,354
98,1227
45,31697
124,1987
110,27132
10,28968
100,6018
160,11138
44,19325
39,308893
149,30336
56,331796
85,27235
86,43126
35,5829
152,31776
99,39292
166,311020
18,16508
15,809
93,316767
111,333588
81,32264
72,35144
88,933
154,1923
0,3249
68,39084
62,19757
116,2812
115,30208
121,27179
106,6087
89,6184
109,4844
34,2965
76,21142
127,344674
125,30635
66,3116
206,27262
12,15336
134,4783
77,18723
167,30708
50,930
182,321864
20,26872
95,5390
142,29194
71,20486
28,4250
82,3020
53,44937
126,5036
48,2060
70,20238
107,309771
119,1122
38,16
57,686
7,312682
105,1980
128,331735
58,318482
41,35006
73,17654
74,20127
143,21165
25,26407
131,26684
80,29675
170,17178
137,318055
46,19324
220,4844
139,12243
83,3050
209,3642
225,513482
114,22659
227,3079
216,20338
67,6493
153,19652
19,317774
204,20290
155,4075
199,28761
195,5924
130,46650
37,4941
11,27084
42,17368
14,26762
201,313852
78,3173
2,32524
112,1683
120,5535
55,2601
177,2450
23,34962
132,31893
129,41462
60,21078
210,1797
176,31702
146,35202
218,30635
207,29682
51,4221
185,31076
188,3511
158,2650
113,5499
102,316761
33,19577
145,1136
5,42770
79,2110
16,921
156,18531
217,4961
92,20741
27,6482
213,26957
147,3956
63,4132
69,1079
168,18348
59,4486
31,27117
215,25569
43,21041
32,19969
228,26848
54,320288
179,35186
84,315702
187,314212
214,5524
141,5373
186,32019
162,31837
9,6213
8,4205
91,26727
140,35112
200,4640
163,21306
122,302187
22,12281
197,6438
189,5997
144,26562
208,2429
61,21238
196,2764
230,1746
64,3256
75,20683
192,3396
172,19674
203,27156
231,19073
239,2827
29,2442
229,27307
236,5846
36,41263
191,319089
94,41082
40,19849
224,32125
221,906
169,2117
178,1511
251,5014
181,21161
240,319607
219,19994
30,42217
235,31533
232,39318
212,20776
205,626
252,42059
249,1298
165,26463
202,5130
159,30921
246,34982
104,19489
241,34958
184,41554
161,37483
183,17054
1,4328
198,6092
108,29966
190,46081
13,42207
151,321844
90,3139
253,982
234,3415
264,3956
103,35228
243,2508
248,389
136,1235
175,312005
226,19322
250,4972
261,3084
135,1905
306,35258
262,7506
150,18756
269,307890
24,333229
274,27610
47,18701
193,320680
223,330813
242,20287
256,301240
171,18632
6,46141
133,29656
194,28833
244,5257
238,20787
290,31846
222,35104
138,6467
297,19712
302,2856
273,44007
267,2391
258,42977
260,10985
173,937
237,19929
49,29993
263,299629
247,28418
211,4113
255,3358
96,30845
307,512065
233,46098
245,32544
289,5921
291,6472
303,5830
254,336951
294,6239
298,34943
311,19006
259,908
282,4644
284,316586
278,20703
301,19373
309,28165
300,16262
279,43992
305,29282
314,697
316,19308
286,3301
308,32675
315,1848
257,41486
271,30987
270,1216
265,32682
272,313211
299,1920
292,32630
280,1005
295,4363
322,5272
281,35136
277,35067
266,2568
276,28591
313,1352
342,19974
304,26853
285,15835
283,30615
323,28417
328,2933
324,5343
334,3753
321,315194
325,3491
288,5302
341,311598
317,319147
337,20848
332,1537
335,4991
331,5963
320,1111
339,5969
329,31824
340,20771
336,7437
319,9114
293,332685
312,2487
326,331500
296,21293
287,29033
275,35087
333,3262
268,32230
310,2083
327,1661
318,968
343,28165
338,3473
330,1072
479,15920
460,322934
455,4936
437,19073
449,39079
453,316586
443,34972
454,19076
446,31715
445,20091
436,14836
426,10622
438,28672
444,4489
428,300456
420,3193
408,321894
469,318502
429,29109
414,4535
411,20180
406,878
459,1123
442,1493
427,26649
603,5050
425,4574
417,21214
633,9414
416,19482
600,3657
413,1693
631,28412
619,318171
625,28114
613,28257
629,31670
642,2404
646,30819
597,312880
620,2393
618,30621
640,4125
626,302134
637,1498
622,945
636,5521
660,20115
652,307934
643,4330
651,2528
649,30106
668,3196
682,2089
670,19010
674,326021
658,4753
684,26822
675,2872
595,5097
680,5930
662,45703
617,318775
687,320482
681,5561
664,510128
683,2435
424,321538
644,342663
655,1765
678,8644
669,4178
665,44146
677,319091
666,30704
648,6036
657,1659
645,6453
653,28127
667,26400
654,4434
661,3742
679,2505
663,5127
641,28411
671,20595
659,3154
672,28121
676,29728
673,27252
354,29036
686,26402
348,18797
346,4331
685,39102
345,5232
350,3356
344,354173
385,26604
376,20776
378,1776
365,1263
656,4360
347,5933
371,27052
362,4571
374,42059
377,18837
357,19615
410,5893
369,6471
404,27175
367,3074
441,5747
400,5623
395,42957
407,35087
351,26902
435,3660
397,4571
364,2077
401,21403
358,24380
390,333070
431,6215
399,3604
366,2880
434,4637
353,43210
403,44068
359,21402
398,19265
430,2132
389,3656
422,2887
379,4458
647,322934
412,316933
381,2008
423,30705
349,42925
419,30285
352,4449
418,309713
415,35196
421,3778
370,35019
368,26742
409,25595
391,3205
361,83
375,35145
405,19912
363,3564
380,4792
356,324981
384,43340
383,1900
386,2942
551,332449
396,2702
360,323907
388,4431
387,4025
392,18783
550,26704
382,19947
567,19236
355,3876
572,5737
373,5533
541,17191
563,5616
557,326019
593,4421
402,4914
591,46524
539,5081
565,4520
393,28880
564,46207
394,3452
555,4373
570,320333
544,4715
538,634
529,1853
540,19852
559,39682
571,44427
569,3617
531,21048
372,4316
511,1771
556,26843
599,1900
566,7
528,20796
532,1263
560,30456
605,5429
546,328934
621,1570
525,30418
520,300
530,20273
526,1711
521,308149
553,43020
598,31550
561,29120
522,8566
554,3984
585,39280
568,42971
587,30663
548,3690
518,46514
562,42930
543,320795
582,5373
517,6381
533,20567
509,32096
537,6039
574,41047
515,508580
508,301872
612,5562
545,28223
502,1882
601,1493
583,744
510,6468
624,1689
513,26387
606,3373
594,4161
503,27967
535,42968
495,321894
558,31517
552,27756
527,24337
524,756
607,25692
609,28887
514,42047
614,42997
604,20315
501,20481
507,19510
505,26895
523,6485
549,307094
498,1876
499,3232
496,20900
611,35108
491,28119
506,2296
516,19668
489,28833
494,27622
512,308298
602,31488
497,31111
487,20110
492,18604
542,32311
488,1958
493,1285
573,2893
484,11364
481,19463
592,46171
536,42959
608,322796
589,3407
476,1680
504,20208
478,28186
590,21000
500,314969
577,29781
483,16501
450,340356
580,6481
534,27300
468,5598
576,3579
447,28922
457,27162
475,19901
456,3382
486,338650
461,20819
452,1396
480,4308
584,313720
581,19493
474,317721
490,300228
440,21264
458,30334
578,4509
477,23899
464,26742
462,300795
470,1814
588,16117
579,2202
575,20087
463,32703
485,8271
471,18716
472,28264
482,346800
473,19552
467,590
432,1879
586,21443
519,3525
466,1066
448,26398
451,20844
547,35125
433,5726
610,1123
465,21326
634,5906
615,28453
632,15292
596,19377
439,6347
616,325130
630,19574
623,4297
635,18615
628,46641
627,4799
638,3956
639,5916
650,8636
695,44169
694,5397
693,525702
697,3023
704,32135
709,12117
690,19412
700,307965
720,32241
701,20282
691,317770
706,4321
713,30852
723,2053
710,20959
715,16291
702,43208
714,346800
716,28674
729,20671
708,26456
689,308229
688,5053
692,355231
703,20326
696,2971
736,340490
705,44546
711,2474
733,17610
707,2637
725,19370
742,19252
698,26922
718,12285
722,5672
712,42320
735,3631
717,34974
731,1235
753,27020
738,29774
746,18535
699,41405
737,350147
758,35151
726,342091
757,27210
745,325130
741,1272
747,26518
761,2452
740,26370
730,5976
763,6380
728,42942
719,28198
721,158
727,20161
732,42308
739,35024
734,18317
754,3146
759,43303
743,307947
770,4458
776,77
809,326442
766,35101
764,2388
744,2783
772,700
751,26471
760,46524
792,28119
784,325995
786,2738
767,29332
765,34955
755,31147
775,11525
748,4664
750,2548
771,5030
724,31996
789,28730
790,32135
778,6517
773,3168
804,18677
749,3061
797,26694
780,42116
762,28127
806,309771
781,28264
794,8427
783,12650
795,302218
774,4721
769,325996
802,31479
752,1839
768,4567
779,26803
791,35159
788,1582
787,892
793,4789
800,27067
805,3210
798,20180
801,5255
808,32203
782,27184
756,5986
777,5311
858,315403
816,20315
813,508348
842,711
835,4049
799,9082
818,4666
856,31941
815,1472
855,1932
838,26957
861,2223
860,30615
859,2704
893,5424
803,525270
853,2729
873,20891
910,972
846,3906
854,6139
917,3192
869,1304
876,885
847,7795
920,29129
913,5881
796,35070
785,26720
840,26447
898,29113
906,19235
890,35111
892,323045
925,346800
807,31124
926,20441
822,39068
914,32370
866,26895
908,275
836,8860
820,316354
857,23158
946,40671
821,18786
819,46530
833,3075
886,18773
938,5911
896,19938
904,18913
828,2549
865,29698
895,1902
927,32697
851,5239
811,311989
868,1254
879,27042
915,26934
943,27194
937,32589
902,31863
939,19574
940,299107
814,13322
933,2077
874,302314
839,31911
907,5536
872,3622
897,308722
852,26401
930,840
870,32370
867,316198
905,1263
884,314226
918,45646
899,1057
922,349155
848,1012
888,320455
875,44409
909,313720
843,11170
931,34991
900,4897
850,26671
862,1678
849,42992
841,8272
845,43673
837,16008
829,28442
891,309890
832,859
887,4473
885,317828
960,46590
882,332953
877,1102
864,29391
834,307389
945,315328
916,27302
826,319300
831,2592
901,299108
947,996
921,20844
844,29524
823,2760
894,6233
903,4178
889,46096
880,18657
824,35016
830,3206
825,27202
976,30582
975,340355
978,307890
827,5599
817,3237
1003,4436
980,795
995,307928
997,26447
812,299513
1000,6389
932,5207
935,18852
863,3564
942,320190
952,5569
971,24390
991,19504
810,19483
934,2553
979,44056
928,29902
936,26381
950,302218
1018,29136
911,308265
982,20926
929,315143
912,327608
883,321741
966,34950
881,20180
871,41475
919,34952
923,4100
967,5650
953,2856
941,30957
878,29799
969,315536
986,3953
924,27723
965,1198
961,314912
970,29611
988,28345
959,2445
1010,46650
963,3868
962,42959
964,42993
1008,699
984,28450
1013,2107
1004,26345
1011,2044
957,2928
949,19833
972,1564
1002,319405
958,19204
956,798
948,30876
954,42956
955,325963
977,28274
981,313332
994,2805
968,26562
983,4020
944,27109
1029,4808
1021,28287
1006,19218
1023,44159
1027,30317
1009,3869
1030,20806
992,25585
974,990
973,315124
989,26616
999,30625
1025,4038
1015,5220
1007,42550
998,43992
987,4734
985,19658
990,5803
1017,308252
1012,782
1005,43223
1028,5086
1031,20568
1024,30317
1019,2024
1022,344674
1001,29255
1020,914
951,24337
993,4544
1016,42954
1026,325281
996,8774
1014,18561
1033,19627
1035,299509
1040,30774
1041,298376
1038,299082
1032,326025
1039,322534
1034,6243
1048,328685
1050,5001
1042,31530
1045,46586
1049,331091
1047,5991
1046,20389
1053,5506
1058,326008
1074,626
1080,4959
1054,30929
1052,20071
1044,21323
1081,45186
1043,19269
1036,6496
1037,16522
1090,333091
1088,2435
1057,1609
1051,3796
1055,29425
1056,28401
1066,346800
1071,21045
1082,4182
1077,4700
1073,337054
1070,6403
1060,28256
1064,318609
1069,4667
1063,19410
1084,30356
1068,4681
1076,27052
1078,19278
1059,20138
1065,44296
1075,32547
1079,19429
1061,4007
1072,19391
1083,432
1089,27107
1109,25794
1115,30800
1067,1896
1093,19969
1114,6454
1110,3489
1095,5830
1062,4282
1086,334719
1097,18806
1103,32218
1098,327445
1119,763
1100,35119
1085,31682
1091,32025
1113,6469
1108,4971
1106,318942
1142,4342
1116,13528
1129,323756
1105,20889
1096,1862
1150,20486
1092,32634
1130,335882
1152,323762
1126,5112
1117,31907
1146,14258
1125,307947
1107,4154
1127,6380
1131,20438
1120,1835
1087,26755
1102,26993
1118,307624
1138,31669
1132,299629
1135,17080
1157,302384
1112,19615
1149,23962
1123,1836
1156,299583
1164,21028
1151,30153
1145,41685
1140,1848
1124,5028
1139,18894
1169,20774
1153,4483
1155,6222
1190,17606
1179,32040
1189,26680
1184,18748
1165,32514
1176,32569
1181,4380
1182,21069
1186,21418
1170,2553
1185,26742
1171,32478
1168,26504
1226,44167
1172,20364
1180,20493
1174,5640
1215,5103
1183,27546
1222,1098
1202,1136
1216,17155
1208,28432
1159,307366
1253,34960
1158,10986
1163,29170
1205,28433
1154,30848
1162,1669
1147,18775
1111,2049
1148,30610
1166,21250
1239,313546
1228,21412
1204,389
1161,27022
1212,975
1094,19785
1099,26677
1192,30153
1104,3359
1177,1756
1224,4951
1203,617
1178,5264
1269,31824
1137,29140
1191,29850
1193,1958
1219,19784
1160,323787
1213,43340
1141,2818
1201,32554
1235,687
1175,27004
1144,21045
1214,1570
1197,407
1122,312371
1195,18445
1221,27306
1173,35278
1136,4314
1268,301668
1143,20272
1134,4707
1209,5880
1262,28229
1167,18657
1266,4682
1261,35299
1260,21047
1282,2524
1206,302307
1290,3193
1251,4861
1278,35256
1281,308378
1210,32082
1121,32427
1194,19204
1223,28432
1294,17059
1255,342378
1249,26730
1252,19627
1258,26645
1187,19201
1285,4549
1198,15835
1218,4732
1250,28367
1248,12613
1241,310989
1247,32554
1279,320875
1256,4632
1200,319405
1304,322080
1311,1194
1280,1383
1275,7180
1283,30804
1240,1011
1238,299583
1272,2270
1227,30703
1236,19667
1211,20943
1234,42435
1101,31575
1319,307389
1225,4961
1317,6216
1310,6465
1220,2192
1312,18525
1314,34996
1232,3583
1305,8178
1303,41263
1297,19898
1299,29763
1230,2508
1296,4006
1291,2021
1307,1797
1300,2906
1188,3893
1196,31884
1217,20306
1301,3536
1264,35161
1263,976
1257,1891
1292,32710
1330,20709
1259,19102
1295,25849
1298,4436
1128,5253
1254,6491
1244,308390
1289,1309
1246,28888
1332,1539
1243,27023
1242,19905
1286,4337
1199,6109
1302,839
1287,327448
1267,1690
1245,5198
1336,314915
1133,28847
1339,1287
1288,4182
1335,1286
1322,29170
1355,26999
1233,16529
1337,1832
1237,320663
1327,34940
1207,23495
1338,20678
1284,32398
1229,18930
1231,20196
1333,17469
1321,1161
1352,32659
1309,32392
1356,4814
1306,880
1340,25911
1331,34969
1343,20659
1271,4328
1315,324104
1277,2002
1265,5932
1308,43883
1293,29759
1342,31682
1329,1774
1276,17576
1334,320456
1351,18498
1347,2192
1353,29508
1274,21084
1344,19476
1270,41565
1313,23953
1358,28218
1320,12651
1348,325938
1341,5306
1326,300323
1328,32737
1324,319147
1316,39429
1349,307928
1318,3224
1323,340074
1273,30323
1369,1603
1372,3683
1375,2571
1365,28453
1368,2133
1325,1832
1371,42486
1361,26453
1364,28631
1363,1213
1359,3646
1362,25592
1350,1872
1373,6145
1354,5884
1345,31654
1374,1710
1360,35096
1346,307959
1367,317457
1370,29094
1366,19876
1357,31715
1381,31278
1384,340355
1390,27146
1377,28616
1379,19290
1387,3129
1376,2097
1378,20528
1399,312665
1395,5019
1385,20932
1396,26491
1382,27144
1398,1609
1380,5352
1386,6455
1394,20532
1391,307985
1389,31741
1404,2905
1401,5984
1400,44662
1407,30929
1393,32542
1392,46282
1414,26450
1388,39066
1402,25581
1383,31998
1408,1131
1409,307389
1416,27325
1406,28466
